optimizer_step,total_flips,u_induced_flips,fraction_flips_u_induced,mean_abs_u_flipped,mean_abs_u_stable,mean_abs_w_flipped,mean_abs_w_stable
0,25890624,0,0.0,0.0,0.0,0.03392803027845138,0.0210508087421943
2,22153730,8282817,0.373879116518979,0.01727858158648679,0.013139625799721399,0.03183832925651798,0.022556783409024582
4,10997688,0,0.0,0.0,0.0,0.03354544268759034,0.023675213460200316
6,10098822,3162679,0.3131730611748578,0.00500638759525616,0.0029236964957856954,0.03661269230213187,0.02333835652850478
8,14651175,7964173,0.5435859581228126,0.010417389731540303,0.0057982267910150894,0.03920165106211618,0.0218781014133321
10,20760842,10911658,0.5255884130325735,0.013285625951490793,0.008184410116250844,0.0390297723714674,0.02020093039818391
12,25470030,11840042,0.4648617217961659,0.01538531265962388,0.010119509958744211,0.03811063924934521,0.01899719969650528
14,28124390,13150312,0.4675767901099366,0.01626691725580537,0.011662589513310851,0.03694446128431585,0.01855468340880502
16,30633861,14095974,0.4601435646652572,0.017113808515681388,0.013020310061758765,0.035887196034479624,0.0181540551109795
18,32279605,14751381,0.4569876552082964,0.017831820587643498,0.014102557321613838,0.034882691408398586,0.01805129649385393
20,33670276,15875041,0.47148532432582374,0.018073064280791758,0.015019465026203379,0.03410105696787279,0.017928426862862674
22,34881410,16067492,0.46063195266475754,0.018379095053783663,0.0158628286065603,0.0335652250009389,0.017717679588652453
24,35262456,16193862,0.45923806328180883,0.018794569711763697,0.016466969955025144,0.03310113311449435,0.017723940654933747
26,36049677,16793494,0.4658431197594364,0.019161667870144856,0.016931461195881868,0.03268303555119232,0.01757410236383655
28,36376204,16586281,0.45596514138748506,0.019249950462120788,0.017424340462912614,0.032493343725475035,0.017398134932307973
30,36539893,16991199,0.4650040710299836,0.019515218613256474,0.017707336948834734,0.03228435835868485,0.01728552994463471
32,36579273,16552969,0.4525231816389571,0.019719222208161438,0.018065975974174375,0.0319448769525846,0.017309489617732942
34,36583217,17047483,0.4659919055232349,0.01990124836478979,0.018264371097621315,0.031695281882946486,0.01727673373898965
36,36814113,16820153,0.45689415360897057,0.02001144574636363,0.0184742551117929,0.03165326161735854,0.017020015235488926
38,36595213,16782394,0.4585953359528198,0.020266299925621418,0.01856013576738979,0.03150255266993527,0.016984950829905095
40,36460314,16786670,0.46040936454908205,0.020225837193832176,0.01875355007397522,0.031267891028036676,0.016991498048596513
42,36616392,17032118,0.4651500890639362,0.020370209126557307,0.01881898245557829,0.03104478794633835,0.016908939961088006
44,36404047,16550839,0.4546428313313627,0.020444227670621345,0.018907449986873232,0.030952976876444535,0.0168417987501455
46,36248126,16892922,0.46603573381972907,0.02077754309284844,0.0187704509851082,0.031088831323307583,0.01659608930848019
48,36241068,16662178,0.4597595744143081,0.020733431131223837,0.018814275146452546,0.030926068459130398,0.016537634277432996
50,35958381,16679609,0.46385873157081237,0.02066401953691964,0.0188014528463016,0.030569924713796208,0.016709899333912186
52,36078843,16876928,0.467779080387916,0.020649214000570917,0.018844594807991426,0.030524620759041526,0.01654542751135878
54,36073009,16683276,0.46248639807120057,0.020863840330037343,0.01879313313978139,0.030572709501444695,0.01635694197946295
56,35466345,16277303,0.4589506756334773,0.021070804941980912,0.01853913483118516,0.030536763091883305,0.016413613757704403
58,35433701,16799480,0.47411022630687094,0.021111790580385606,0.018458310551786324,0.030487222460899584,0.016324123191158637
60,35886764,16814740,0.46854990881874997,0.02091566057613888,0.01855564200394178,0.030322359937496733,0.016187294807695304
62,35714493,16610032,0.4650781966861464,0.020976925249925848,0.018402446930133085,0.030123320664246864,0.016263851818207102
64,35150882,16319180,0.46426089678204946,0.02097715499713492,0.018305409609966492,0.030189171355643366,0.016266715737541314
66,35177037,16763571,0.4765486928304962,0.021237958088965822,0.018143017956707294,0.03026481096176463,0.01610631856198746
68,35300613,16406461,0.46476419545462283,0.021244845309060213,0.018162890488288452,0.030092519214892952,0.016101261134419374
70,35169854,16649754,0.4734098128471048,0.02127817156989051,0.017971532369404384,0.03001549992217767,0.016107486472065134
72,35228040,16569860,0.47035997461113366,0.02115736321123741,0.01795127609370954,0.02988588067914082,0.016104786483553818
74,35035312,16494159,0.4707867022848262,0.021212248659295514,0.017871383489530445,0.029745259225891867,0.01618517519989842
76,34907951,16526714,0.47343695423429466,0.021201348225795322,0.01787606864173845,0.02999778796813368,0.01597814607218285
78,34974734,16613517,0.47501482069885076,0.0215874604650317,0.017682340957217667,0.030157702557509086,0.01578773481671969
80,34785968,16310095,0.4688699477904424,0.02155915281702093,0.017662347667001775,0.0298842733081339,0.015977493020355785
82,34964237,16830863,0.48137366761356754,0.02142420553893397,0.017648886434192195,0.029578871905598856,0.0160927370350847
84,35146237,16513284,0.4698450078738159,0.02136977352653714,0.017689624518906696,0.029594484041065336,0.015988670477767128
86,34689573,16378540,0.47214590966570846,0.021591859173360248,0.01755236552201536,0.029645159872679898,0.01603919506909761
88,34323881,16255812,0.4736006397411761,0.02138208817353725,0.017720671882617882,0.029667525796398142,0.01608956664860398
90,34820825,16981322,0.48767718743022315,0.021618943189887087,0.0177724414044498,0.02968626892096899,0.01591387265922655
92,35372506,16774832,0.47423363218879655,0.021956152187803713,0.017752195980198598,0.02971315490058861,0.015718208098316963
94,35031900,16544595,0.4722722718436625,0.02210382180241437,0.017606467466446143,0.029776013076652993,0.015751850458920545
96,34639654,16466377,0.4753620518264992,0.021785034645553907,0.017629127442921666,0.029616539688877955,0.015958744021920906
98,34536464,16542685,0.47899185625951746,0.021686944413301837,0.017823636659426195,0.029383872723623358,0.016139235957115288
